ENCFF486ADH_PTBP1	ENCFF983TGB_PTBP1	ENCFF138XJC_FUS	ENCFF169XEG_FUS	ENCFF020XNK_U2AF2	ENCFF298TSM_U2AF2	ENCFF703PUD_PCBP1	ENCFF793CAH_PCBP1	ENCFF714YYN_SRSF1	ENCFF801DDP_SRSF1	ENCFF078KLK_HNRNPC	ENCFF682EBX_HNRNPC	ENCFF196EOX_HNRNPA1	ENCFF786LGW_HNRNPA1	ENCFF758ALR_HNRNPL	ENCFF888EAZ_HNRNPL
chr5_-_111735496_111735507_111755770_111755830_111757136_111757164	0.85	0.9	0.89	0.92	0.99	0.87	0.99	0.93	0.98	0.99	0.75	0.82	0.88	0.91	0.88	0.95
chr5_-_132218545_132218644_132226697_132227221_132227790_132227815	0.13	0.11	0.11	0.11	0.69	0.45	0.13	0.07	0.11	0.09	0.1	0.1	0.23	0.19	0.14	0.05
chr5_-_132218545_132218644_132226697_132227258_132227790_132227815	0.07	0.11	0.1	0.1	0.69	0.45	0.04	0.07	0.07	0	0.05	0.07	0.04	0.09	0.05	0.05
chr5_-_132218545_132218644_132227086_132227221_132227790_132227815	0.23	0.2	0.29	0.35	0.92	0.76	0.23	0.22	0.11	0.09	0.26	0.31	0.23	0.25	0.24	0.31
chr5_-_132218545_132218644_132227086_132227258_132227790_132227815	0.07	0.12	0.1	0.1	0.84	0.52	0.04	0.08	0.07	0	0.05	0.07	0.04	0.09	0.05	0.13
chr5_-_133006759_133006920_133022841_133022906_133026497_133026549	0.26	0.23	0.42	0.53	0.04	0.09	0.33	0.07	0.6	0.57	0.58	0.36	0.28	0.29	0.44	0.5
chr5_-_138156915_138157267_138159555_138159599_138160069_138160129	0.82	0.78	0.43	0.41	0.01	0.01	0.56	0.6	0.53	0.58	0.19	0.21	0.38	0.36	0.46	0.56
chr5_-_138165999_138166108_138166518_138166727_138167934_138168078	0.93	0.86	0.85	0.82	0.88	0.88	0.52	0.63	0.9	0.96	0.67	0.72	0.94	0.89	0.95	0.95
chr5_-_140281449_140281533_140300416_140300582_140303041_140303083	0.86	0.85	0.9	0.94	0.77	0.7	0.91	0.92	0.93	0.94	0.94	0.9	0.89	0.85	1	0.98
chr5_-_141630044_141630125_141634811_141634953_141636548_141636630	0.89	0.87	0.9	0.89	0.67	0.87	0.84	0.88	0.94	0.85	0.86	0.82	1	0.9	0.9	0.78
chr5_-_149513207_149513209_149517794_149517877_149520290_149520293	0.08	0.08	0.08	0.05	0.02	0.02	0.06	0.04	0.04	0.02	0.02	0.05	0.05	0.06	0.02	0.07
chr5_-_150402563_150402625_150403121_150403312_150404680_150404767	0.1	0.08	0.08	0.09	0.09	0.08	0.14	0.17	0.14	0.13	0.14	0.15	0.19	0.23	0.09	0.1
chr5_-_151109753_151109846_151110627_151110644_151117127_151117180	0.85	0.82	0.81	0.83	0.79	0.76	0.65	0.57	0.82	0.82	0.85	0.82	0.74	0.75	0.78	0.76
chr5_-_151746279_151746449_151751704_151751779_151758546_151758631	0.98	0.99	0.96	0.97	0.98	0.97	0.99	0.97	0.97	0.97	0.97	0.96	0.99	0.99	0.97	0.96
chr5_-_171910734_171910797_171914343_171914405_172006458_172006569	0.12	0.27	0.41	0.54	0.27	0.36	0.13	0.53	0.43	0.36	0.38	0.46	0.45	0.56	0.26	0.27
chr5_-_173608060_173608292_173609238_173609434_173613131_173613255	1	0.98	0.97	0.98	0.94	0.93	0.96	0.95	0.89	0.9	0.91	0.96	0.97	0.97	0.99	0.99
chr5_-_173609357_173609434_173609578_173609670_173613131_173613255	0	0.02	0.02	0.02	0	0	0.01	0.02	0.08	0.02	0	0	0	0.01	0	0.03
chr5_-_176355571_176355749_176359481_176359567_176359811_176359918	0.93	0.92	0.91	0.94	0.94	1	0.86	0.93	0.46	0.54	0.83	0.82	0.88	0.81	0.79	0.91
chr5_-_178149482_178149838_178150888_178150993_178153491_178153560	0.93	0.97	0.98	0.98	0.86	0.83	0.97	0.96	0.97	0.98	0.96	0.96	0.95	0.96	0.98	0.98
chr5_-_178616882_178616948_178617344_178617434_178618556_178618778	0.65	0.49	0.38	0.45	0.81	0.38	0.83	0.64	0.44	0.63	0.85	0.75	0.67	0.58	0.79	0.57
chr5_-_179614890_179614959_179615546_179615595_179616126_179616218	0.88	0.88	0.95	0.94	0.52	0.46	0.9	0.92	0.83	0.86	0.91	0.89	0.9	0.87	0.93	0.96
chr5_-_179616899_179616958_179617051_179617110_179617514_179617581	0.95	0.93	0.94	0.93	0.97	0.97	0.94	0.94	0.94	0.95	0.94	0.91	0.96	0.94	0.94	0.97
chr5_-_179616899_179616958_179617060_179617110_179617514_179617581	0.14	0.09	0.19	0.11	0.25	0.23	0.1	0.1	0.22	0.16	0.05	0	0.08	0.08	0.06	0.1
chr5_-_179618239_179618323_179619269_179619360_179620892_179620959	0.25	0.12	0.04	0.06	0.16	0.22	0.2	0.2	0.2	0.21	0.05	0.03	0.11	0.09	0.11	0.08
chr5_-_179618239_179618323_179619269_179619407_179620892_179620959	0.89	0.82	0.81	0.81	0.84	0.9	0.88	0.9	0.85	0.86	0.81	0.78	0.81	0.81	0.86	0.87
chr5_-_179844152_179844227_179847978_179848066_179853378_179853437	0.88	0.97	0.96	0.91	0.99	0.97	0.8	0.84	0.8	0.9	0.97	1	0.88	0.96	0.9	0.94
chr5_-_180269280_180269409_180279796_180280036_180280440_180280581	0	0.09	0.07	0.11	0	0	0.02	0.02	0.07	0.03	0.21	0.11	0.09	0.08	0.03	0.02
chr6_+_311880_311962_335114_335163_345854_345912	0.56	0.51	0.83	0.65	0.68	0.48	0.49	0.44	0.59	0.6	0.88	0.92	0.82	0.79	0.61	0.56
chr6_+_3012544_3012674_3015530_3015643_3016884_3016985	0.88	0.98	0.85	0.84	0.44	0.23	0.9	0.97	0.73	0.86	0.69	0.59	0.86	0.89	0.65	0.65
chr6_+_10749622_10749698_10751133_10751234_10755142_10755232	0.87	0.88	0.9	0.97	0.8	1	0.93	0.95	0.81	0.88	0.92	0.84	0.9	0.95	0.89	0.86
chr6_+_15374117_15374252_15410224_15410365_15452006_15452175	0.81	0.82	0.88	0.82	0.75	0.79	0.85	0.86	0.84	0.83	0.84	0.9	0.93	0.89	1	0.93
chr6_+_29944122_29944397_29944500_29944616_29945059_29945091	0.97	0.97	0.94	0.99	0.78	0.83	0.96	0.96	0.85	0.77	0.94	0.96	0.93	0.94	0.88	0.92
chr6_+_30067205_30067479_30068279_30068353_30068590_30068698	0.03	0.07	0.05	0.01	0.04	0.01	0.04	0.04	0.02	0	0.02	0.02	0.01	0.04	0.01	0.02
chr6_+_30170501_30170616_30170976_30171008_30171832_30172689	0.98	0.98	0.92	0.91	0.32	0.33	0.93	0.92	0.83	0.95	0.85	0.78	0.9	0.92	0.92	0.98
chr6_+_30640377_30640422_30640535_30640603_30642176_30642247	0.74	0.76	0.75	0.83	0.39	0.13	0.84	0.71	0.85	0.83	0.68	0.81	1	0.9	0.92	0.77
chr6_+_30894588_30894671_30895404_30895514_30896621_30896865	0.41	0.26	0.2	0.29	0.22	0.11	0.28	0.34	0.3	0.38	0.52	0.27	0.4	0.57	0.19	0.26
chr6_+_31835411_31835451_31836424_31836517_31837236_31837435	0.12	0.16	0.16	0.16	0	0.02	0.17	0.17	0.15	0.12	0.52	0.67	0.09	0.08	0.17	0.17
chr6_+_31927955_31928164_31928732_31928917_31933610_31933783	0.87	0.86	0.9	0.9	0.96	0.92	0.79	0.82	0.93	0.92	0.92	0.95	0.91	0.87	0.87	0.82
chr6_+_31933867_31933965_31934166_31934299_31935923_31936061	0.98	0.99	0.97	1	0.98	0.96	0.98	0.97	0.96	0.96	0.99	0.99	0.99	1	0.98	0.98
chr6_+_31944727_31944853_31944980_31945029_31945178_31945672	0.99	0.99	0.97	0.98	0.52	0.54	0.97	0.95	1	0.98	0.91	0.87	0.99	0.98	0.95	0.98
chr6_+_32032224_32032298_32033790_32033892_32034058_32034147	0.98	0.98	0.98	0.97	0.78	0.68	0.95	0.94	0.98	0.98	0.89	0.85	0.92	0.93	0.98	0.97
chr6_+_32154587_32154777_32155030_32155183_32155688_32155783	0.71	0.62	0.76	0.64	0.86	1	0.46	0.49	0.78	0.88	0.82	0.48	0.7	0.7	0.86	0.86
chr6_+_32974462_32974765_32975021_32975112_32975384_32975521	0.19	0.22	0.22	0.26	0.18	0.19	0.19	0.18	0.15	0.15	0.22	0.18	0.27	0.26	0.21	0.23
chr6_+_34757525_34757551_34757912_34757954_34762595_34762703	0.99	0.99	0.98	0.99	0.92	0.89	0.97	0.95	0.99	0.99	0.97	0.98	0.97	0.97	0.96	0.97
chr6_+_34970010_34970166_34972581_34972643_34981690_34981986	0.09	0.15	0.09	0.11	0.04	0.01	0.14	0.14	0.2	0.2	0.19	0.15	0.32	0.33	0.12	0.06
chr6_+_35292881_35293044_35293751_35293915_35294456_35294552	0.71	0.57	0.69	0.59	0.82	0.7	0.43	0.69	0.38	0.57	0.75	0.67	0.69	0.78	0.59	0.71
chr6_+_36135753_36135861_36136019_36136048_36136484_36136515	0.99	0.99	0.91	0.93	0.47	0.62	0.98	0.89	0.98	0.97	0.97	0.89	0.93	1	0.97	0.99
chr6_+_36470052_36470257_36474789_36475062_36479121_36479223	0.95	0.97	0.79	0.87	0.66	0.63	0.85	0.95	0.87	0.83	0.92	0.84	0.91	0.72	0.93	0.84
chr6_+_36598849_36598983_36599821_36600276_36601152_36601190	0.1	0.08	0.11	0.15	0.15	0.08	0.08	0.11	0.06	0.04	0.18	0.16	0.16	0.21	0.1	0.07
chr6_+_37371512_37371574_37374620_37374709_37376926_37377033	0.93	0.94	0.97	0.96	0.65	0.6	0.97	0.9	0.9	0.9	0.87	0.81	0.8	0.95	1	0.95
chr6_+_37376926_37377033_37381150_37381354_37390742_37391062	0.91	0.91	0.89	0.93	1	1	0.93	0.93	0.95	0.94	0.73	0.91	1	0.85	0.94	0.97
chr6_+_38061611_38061775_38082392_38082457_38116572_38116676	0.95	0.89	0.96	0.97	0.9	0.78	0.91	0.93	0.94	0.96	0.95	0.94	0.94	0.98	0.95	0.97
chr6_+_38082392_38082457_38116572_38116739_38152235_38152844	0.99	1	0.98	0.97	0.99	0.98	0.96	0.99	0.98	0.99	0.97	0.97	0.96	1	1	0.99
chr6_+_42879933_42879951_42880861_42880966_42883451_42883614	0.86	0.89	0.91	0.91	0.71	0.8	0.91	0.89	0.84	0.87	0.97	0.92	0.77	0.78	0.9	0.9
chr6_+_42929480_42929721_42934475_42934598_42935412_42935473	0.88	0.85	0.97	0.93	0.84	0.92	0.89	0.86	0.52	0.75	0.79	0.93	0.89	0.96	1	0.85
chr6_+_42929480_42929721_42934475_42934598_42935574_42935670	0.91	0.91	0.9	0.89	0.83	0.86	0.94	0.84	0.65	0.84	0.83	0.98	0.93	0.96	0.88	0.94
chr6_+_42934475_42934598_42935412_42935473_42935574_42935670	0.11	0.16	0.12	0.1	0.02	0.02	0.26	0.27	0.14	0.22	0.05	0.09	0.14	0.18	0.11	0.14
chr6_+_43008367_43008475_43008693_43008746_43009057_43009227	0.95	0.97	0.96	1	0.17	0.16	0.9	0.9	0.99	0.96	0.9	0.92	0.92	0.94	1	1
chr6_+_43478137_43478232_43478659_43478718_43497881_43497977	0.17	0.17	0.05	0.14	0	0.01	0.12	0.12	0.12	0.14	0.18	0.04	0.03	0.07	0.06	0.2
chr6_+_43778889_43778918_43780732_43780803_43781956_43782052	0.24	0.15	0.17	0.27	0.14	0.08	0.11	0.07	0.05	0.11	0.05	0.06	0.14	0.12	0.12	0.14
chr6_+_43778889_43778918_43781956_43782087_43784541_43784562	0.54	0.6	0.6	0.56	0.31	0.34	0.52	0.65	0.55	0.59	0.76	0.64	0.55	0.65	0.7	0.71
chr6_+_44141028_44141098_44146847_44146927_44147377_44147500	0.93	0.96	0.88	0.97	0.86	0.85	0.96	0.93	0.97	0.96	0.95	0.99	1	0.99	0.86	0.9
chr6_+_44219636_44219782_44226061_44226167_44227263_44227328	0.01	0.06	0	0.04	0.05	0.01	0	0	0.07	0.03	0.05	0.09	0.04	0.05	0.03	0.02
chr6_+_44247101_44247195_44248630_44248776_44249377_44249583	1	1	1	1	0.87	0.86	1	1	0.99	0.99	1	1	1	1	1	1
chr6_+_63527819_63528084_63532337_63532530_63550300_63550493	0.35	0.22	0.12	0.05	0.04	0	0.25	0.19	0.13	0.12	0.33	0.38	0.48	0.45	0.09	0.37
chr6_+_63680000_63680161_63684129_63685911_63691737_63692043	0.91	0.94	0.88	0.96	0.32	0.2	0.84	0.88	0.83	0.83	0.89	0.86	0.82	0.88	0.77	0.86
chr6_+_73492234_73492352_73497736_73497896_73500574_73500701	0.88	0.96	0.84	0.91	0.91	0.76	0.95	0.97	0.97	1	0.91	0.91	0.79	0.97	0.94	0.85
chr6_+_75621532_75621625_75622751_75622858_75623900_75623960	0.07	0.13	0.07	0.08	0.06	0.07	0.18	0.13	0.23	0.16	0.28	0.21	0.15	0.19	0.29	0.3
chr6_+_75634707_75634811_75640684_75640704_75647731_75647801	0.55	0.48	0.67	0.66	0.53	0.43	0.46	0.33	0.46	0.46	0.33	0.39	0.62	0.39	0.25	0.23
chr6_+_75634707_75634811_75640687_75640704_75647731_75647801	0.5	0.47	0.67	0.67	0.48	0.4	0.45	0.42	0.34	0.54	0.47	0.35	0.54	0.33	0.39	0.21
chr6_+_75697425_75697517_75702645_75703072_75709527_75709630	0.94	0.94	0.91	0.96	0.91	0.59	0.92	0.92	0.95	0.94	0.97	0.93	0.97	0.9	0.98	0.86
chr6_+_87594353_87594407_87594527_87594613_87601784_87601881	0.09	0.03	0.14	0.06	0.1	0.09	0.03	0	0.07	0.05	0.06	0.11	0.02	0.08	0.18	0.2
chr6_+_87594353_87594407_87594542_87594613_87601784_87601881	0.09	0.03	0.14	0.06	0.1	0	0.03	0	0.07	0.05	0.14	0.17	0.02	0.08	0.18	0.2
chr6_+_87612089_87612248_87616314_87616427_87621354_87621487	1	0.95	0.91	0.96	0.84	0.84	0.9	0.89	0.98	0.96	0.85	0.85	0.82	0.96	0.81	0.72
chr6_+_116571563_116571655_116574058_116574171_116580295_116580360	0.2	0.26	0.13	0.22	0.04	0.06	0.19	0.22	0.19	0.28	0.27	0.22	0.18	0.16	0.17	0.22
chr6_+_117540918_117541025_117543124_117543211_117544528_117544577	0.9	0.9	0.92	0.98	0.76	0.71	0.98	0.83	0.91	0.87	0.7	0.95	0.89	0.85	0.84	0.78
chr6_+_122423581_122423686_122427903_122427956_122431430_122431514	0.03	0.14	0.29	0.21	0.15	0.13	0.11	0.03	0.4	0.31	0.42	0.31	0.3	0.09	0.13	0.19
chr6_+_122796824_122796968_122801310_122801406_122803664_122803833	0.82	0.89	0.96	0.86	0.87	0.61	0.94	0.96	0.98	1	0.9	0.57	0.81	1	1	0.88
chr6_+_131685364_131685495_131685876_131685907_131693497_131693624	0.88	0.95	1	0.99	0.93	0.62	1	0.98	0.92	0.94	0.88	0.98	0.89	0.89	0.96	0.93
chr6_+_142198439_142198615_142203985_142204065_142218498_142219067	0.97	0.96	0.99	0.98	0.88	0.93	0.99	0.96	0.99	0.99	0.95	0.99	0.98	0.98	0.99	0.96
chr6_+_142381951_142382019_142383760_142383843_142390258_142390343	0.72	0.72	0.33	0.23	0.14	0.04	0.22	0.21	0.58	0.58	0.23	0.18	0.57	0.73	0.43	0.47
chr6_+_142438212_142438364_142440908_142440953_142443337_142443730	0.82	0.77	0.63	0.59	0.36	0.36	0.81	0.81	0.87	0.75	0.38	0.37	0.85	0.81	0.47	0.5
chr6_+_144820882_144821018_144827348_144827386_144827611_144827676	0.84	0.89	0.88	0.88	0.46	0.49	0.77	0.79	0.97	0.98	0.93	0.89	0.75	0.78	0.91	0.92
chr6_+_156935466_156935576_157036835_157036876_157084662_157084905	0.13	0.16	0.39	0.34	0.27	0.11	0.21	0.53	0.25	0.24	0.4	0.42	0.18	0.38	0.24	0.22
chr6_+_158168360_158168395_158170470_158170538_158191977_158192410	0.95	0.96	0.97	0.98	0.75	0.75	0.93	0.96	1	0.97	0.96	0.97	0.98	0.97	0.97	0.97
chr6_+_161097166_161097176_161098278_161098427_161101892_161101992	0.7	0.59	0.3	0.27	0.1	0.04	0.03	0.09	0.28	0.26	0.5	0.24	0	0	0.67	0.08
chr6_+_167010813_167010893_167013508_167013567_167022409_167022635	0.27	0.06	0.44	0.43	0.07	0.12	0.43	0.42	0.11	0.13	0.41	0.32	0.44	0.28	0.31	0.27
chr6_+_167870386_167870498_167872214_167872377_167875335_167875495	0.98	0.98	1	0.98	0.95	0.88	0.93	0.89	0.96	0.97	0.74	0.66	0.86	0.95	0.97	1
chr6_+_167870386_167870498_167872217_167872377_167875335_167875495	0.98	0.96	1	0.96	0.93	0.83	0.89	0.85	0.94	0.95	0.68	0.66	0.8	0.9	0.94	1
chr6_+_167911284_167911489_167913403_167913423_167914168_167914313	0.11	0.07	0.31	0.43	0.49	0.49	0.21	0.17	0.31	0.27	0.05	0.07	0.09	0.13	0.04	0.09
chr6_+_167946707_167946901_167947853_167947944_167948293_167948478	0.93	0.95	0.97	0.93	0.52	0.36	0.93	0.9	0.81	0.76	0.97	0.92	0.96	0.94	0.88	0.89
chr6_-_3182630_3183726_3190827_3191230_3195666_3195784	0.82	0.93	0.85	0.8	0.76	0.54	0.84	0.89	0.75	0.88	0.88	0.68	0.69	0.88	0.9	0.8
chr6_-_3182630_3183726_3190827_3191257_3195666_3195784	0.82	0.89	0.76	0.78	0.71	0.54	0.77	0.84	0.75	0.83	0.86	0.67	0.64	0.88	0.87	0.73
chr6_-_4117308_4117451_4119186_4119275_4125250_4125370	0.98	0.99	0.96	0.97	0.77	0.67	0.97	0.95	0.98	0.98	0.98	0.94	1	0.98	0.97	0.99
chr6_-_4999809_4999904_5000563_5000631_5002101_5002245	0.96	0.95	0.71	0.91	0.64	0.74	0.89	0.8	0.82	0.88	0.86	0.87	1	0.86	0.98	0.96
chr6_-_8026367_8026425_8027207_8027399_8041139_8041268	0.04	0.06	0.1	0.05	0.02	0	0.07	0.03	0.08	0.05	0.15	0.12	0.18	0.17	0.29	0.41
chr6_-_8026367_8026425_8041139_8041268_8062534_8062616	0.9	0.89	0.92	0.88	0.66	0.7	0.86	1	0.76	0.92	0.83	0.96	0.88	0.88	0.96	0.96
chr6_-_8429864_8430157_8434385_8434430_8435343_8435537	0.61	0.84	0.67	0.84	0.77	0.66	0.72	0.71	0.55	0.68	0.74	0.76	0.92	0.61	0.5	0.58
chr6_-_13320908_13321095_13325094_13325174_13326787_13326906	0.93	0.7	0.77	0.67	0.26	0.46	0.75	0.8	0.81	0.75	0.79	0.77	0.69	0.73	0.64	0.57
chr6_-_17665239_17665385_17668975_17669028_17669293_17669337	0.9	0.94	0.86	0.73	0.93	0.95	0.85	0.93	0.76	0.76	0.84	0.94	0.91	0.96	0.88	0.9
chr6_-_17764155_17764946_17771114_17771218_17771908_17772059	0.36	0.23	0.59	0.72	0.52	0.67	0.38	0.4	0.68	0.57	0.35	0.4	0.86	0.75	0.33	0.44
chr6_-_25914580_25914670_25915499_25915646_25915736_25915868	0.89	0.68	0.86	0.82	0.79	0.52	0.75	0.88	1	0.94	0.85	0.93	0.76	0.82	0.8	0.84
chr6_-_30201035_30201138_30204656_30204765_30213305_30213365	0.7	0.82	0.86	0.74	0.51	0.58	0.78	0.94	0.87	0.85	0.67	0.8	0.71	0.58	0.79	0.82
chr6_-_30741190_30741333_30741614_30741704_30741792_30741867	0.97	0.98	0.92	0.91	0.91	0.71	0.84	0.95	0.93	0.95	0.91	0.81	0.87	0.85	0.97	0.99
chr6_-_31639029_31639226_31639500_31639646_31640199_31640306	0.48	0.51	0.32	0.35	0.33	0.3	0.31	0.32	0.38	0.35	0.22	0.15	0.21	0.32	0.41	0.41
chr6_-_31640199_31640306_31640385_31640528_31640645_31640704	0.96	0.99	0.96	0.97	0.91	0.92	1	1	0.92	0.91	0.94	0.95	0.97	0.96	0.99	1
chr6_-_31644082_31644194_31644307_31644414_31644525_31644602	0.42	0.44	0.4	0.4	0.13	0.01	0.87	0.85	0.37	0.42	0.44	0.26	0.25	0.28	0.4	0.4
chr6_-_31648677_31648751_31648911_31648964_31649199_31649395	0.97	0.94	0.96	0.95	0.98	0.96	0.96	0.94	0.96	0.97	0.86	0.89	0.91	0.93	0.94	0.94
chr6_-_31892826_31892910_31893362_31893662_31896263_31896504	0	0.02	0.1	0.08	0.07	0.09	0.07	0.07	0.01	0	0.03	0.02	0.13	0.04	0.12	0
chr6_-_41067401_41067437_41068841_41068953_41070076_41070134	0.88	0.84	0.96	0.92	0.53	0.25	0.8	0.93	0.68	0.7	0.78	0.76	0.81	0.87	0.8	0.88
chr6_-_42211781_42211917_42214120_42214192_42214280_42214344	0.98	0.95	0.95	0.96	0.63	0.67	0.92	0.98	0.76	0.78	1	0.98	0.93	0.93	0.99	0.95
chr6_-_43671784_43671906_43675202_43675271_43675494_43675617	0.98	0.97	0.98	0.98	0.92	0.92	0.9	0.77	0.98	0.97	0.99	0.94	0.95	0.92	0.95	0.98
chr6_-_52264624_52264786_52265235_52265385_52266075_52266144	0.07	0.06	0.03	0.04	0.07	0	0.04	0.01	0	0	0.71	0.76	0.04	0.05	0.09	0.12
chr6_-_75237823_75237988_75240301_75240385_75241176_75241265	0.99	1	0.98	0.99	0.97	0.97	0.98	0.98	0.98	0.99	1	1	0.99	1	0.97	0.94
chr6_-_79203580_79203630_79208547_79208576_79214972_79215022	0.99	0.99	0.99	1	0.96	0.97	1	1	0.99	1	0.97	0.97	0.99	0.98	0.98	0.98
chr6_-_82173367_82173438_82175904_82176026_82181879_82182028	0.09	0.07	0.06	0.1	0.09	0.02	0.07	0.07	0.05	0.05	0.16	0.23	0.06	0.05	0.04	0.09
chr6_-_83170305_83170478_83171937_83172059_83174374_83174487	0.95	0.95	0.97	0.97	0.58	0.72	0.92	0.98	0.98	0.96	0.98	0.95	0.97	0.99	0.96	0.96
chr6_-_85536792_85536924_85538838_85538864_85541985_85542043	0.53	0.54	0.25	0.2	0.12	0.11	0.06	0.11	0.29	0.44	0.3	0.27	0.28	0.33	0.17	0.1
chr6_-_85677424_85677492_85677795_85677868_85677954_85678032	0.57	0.59	0.43	0.57	0.36	0.14	0.65	0.57	0.46	0.69	0.52	0.21	0.88	0.69	0.42	0.31
chr6_-_85677424_85677492_85677795_85677875_85677954_85678032	0.97	0.97	0.97	0.97	0.94	0.91	0.97	0.97	0.97	0.98	0.96	0.95	1	0.99	0.96	0.95
chr6_-_85677424_85677492_85677795_85678032_85678136_85678188	0.99	1	0.99	1	0.98	0.85	1	0.99	1	1	0.99	0.99	1	1	0.99	0.99
chr6_-_87545616_87545699_87548591_87548646_87555408_87555501	0.84	0.82	0.79	0.8	0.7	0.5	0.82	0.82	0.9	0.88	0.8	0.81	0.82	0.83	0.81	0.86
chr6_-_90536337_90536401_90544552_90544632_90547258_90547387	0.07	0.11	0.42	0.42	0.76	0.81	0.42	0.56	0.3	0.31	0.05	0.18	0.17	0.24	0.14	0.17
chr6_-_98875415_98875727_98880553_98880624_98899268_98899481	0.92	0.89	0.59	0.76	0.68	0.68	0.65	0.94	0.84	0.93	0.94	0.83	0.76	1	0.88	0.48
chr6_-_99402540_99402710_99403829_99403882_99404603_99404702	0.93	0.96	1	0.99	0.85	0.82	0.99	1	0.95	0.99	0.97	0.92	0.94	1	0.98	1
chr6_-_99414572_99414690_99416349_99416428_99425215_99425258	0.84	0.93	0.8	0.77	0.58	0.63	0.83	0.8	1	0.98	0.79	0.58	0.8	0.95	0.67	0.61
chr6_-_99543475_99543609_99544179_99544273_99545112_99545230	0.01	0	0.03	0.03	0.04	0	0.01	0.03	0.02	0.01	0.1	0.13	0	0	0.06	0.02
chr6_-_109368922_109369017_109370411_109370467_109376074_109376112	0.86	0.87	0.79	0.85	0.33	0.3	0.86	0.9	0.93	0.95	0.95	0.93	0.89	0.91	0.73	0.76
chr6_-_110632030_110632161_110638649_110638706_110667434_110667574	1	0.83	0.92	0.9	1	0.88	0.86	0.69	0.89	0.9	0.96	0.88	0.85	1	0.86	1
chr6_-_125292841_125292909_125298714_125298816_125300538_125300659	0.57	0.55	0.74	0.76	0.71	0.76	0.54	0.61	0.53	0.5	0.53	0.51	0.69	0.68	0.48	0.47
chr6_-_127314816_127314896_127316450_127316502_127327002_127327144	0.75	0.73	0.8	0.72	0.7	0.7	0.83	0.75	0.8	0.82	0.6	0.56	0.69	0.78	0.61	0.61
chr6_-_129580070_129580131_129583988_129584112_129599216_129599356	0.96	0.96	0.97	0.96	0.98	0.84	0.97	0.97	0.98	0.98	0.94	0.88	0.97	0.95	0.96	0.96
chr6_-_130863638_130863718_130865536_130865634_130867459_130867581	0.96	0.96	1	0.99	1	1	0.97	0.98	1	0.99	0.98	0.99	1	0.98	1	1
chr6_-_131610046_131610246_131615324_131615341_131615907_131616002	0.15	0.15	0.1	0.05	0	0.03	0.07	0	0.05	0.02	0.12	0.18	0	0	0.05	0.07
chr6_-_136261301_136261477_136267029_136267175_136268162_136268273	0.79	0.76	0.7	0.77	0.33	0.32	0.8	0.81	0.57	0.61	0.79	0.64	0.71	0.86	0.84	0.9
chr6_-_136268162_136268339_136269141_136269303_136269437_136269520	0.04	0.03	0.13	0.13	0.19	0.23	0.07	0.08	0.02	0.05	0.13	0.13	0.13	0.2	0.25	0.18
chr6_-_138430393_138433680_138441983_138442114_138447001_138447193	0.72	0.78	0.79	0.81	0.89	0.77	0.62	0.53	0.83	0.84	0.77	0.78	0.87	0.82	1	0.68
chr6_-_138921064_138921124_138926401_138926481_138929977_138929997	0.62	0.48	0.67	0.57	0.51	0.56	0.28	0.31	0.44	0.49	0.45	0.36	0.39	0.58	0.67	0.55
chr6_-_152987362_152990095_152991185_152991321_152992857_152992974	0.68	0.66	0.59	0.49	0.2	0.15	0.71	0.62	0.64	0.61	0.74	0.69	0.7	0.65	0.55	0.54
chr6_-_166946682_166946739_166948570_166948625_166952488_166952548	0.94	0.91	0.97	0.99	0.98	1	0.99	0.99	0.76	0.84	0.98	0.97	0.95	0.95	1	0.99
chr6_-_170546103_170546184_170549006_170549113_170553130_170553307	0.99	1	0.99	1	1	1	1	1	0.98	0.98	1	1	0.99	0.99	1	0.99
chr7_+_10974835_10974945_10982372_10983159_10990703_10990847	0.67	0.55	0.86	0.86	0.95	0.88	0.65	0.65	0.68	0.66	0.35	0.39	0.51	0.42	0.62	0.74
chr7_+_11051612_11051780_11061791_11061841_11061964_11062085	0.93	0.91	0.87	0.87	0.94	0.98	0.74	0.73	0.56	0.54	0.9	0.91	0.96	0.95	0.82	0.93
chr7_+_23187073_23187146_23195839_23195915_23196680_23196766	1	0.78	0.93	0.84	0.88	0.81	0.89	0.96	0.81	0.9	0.98	0.95	0.73	1	0.84	0.95
chr7_+_26346420_26346466_26357007_26357127_26360975_26361031	0	0.02	0.2	0.22	0.09	0.13	0.09	0.12	0.02	0.02	0.12	0.1	0.11	0.07	0.06	0.08
chr7_+_36415758_36415884_36417080_36417190_36419244_36419467	0.95	0.85	0.95	0.84	0.67	0.5	0.81	0.79	0.78	0.75	0.75	0.79	0.87	0.73	1	0.98
chr7_+_37920658_37921208_37948840_37949048_37950200_37950286	0.9	0.92	0.88	0.91	0.9	0.84	0.91	0.91	0.74	0.72	0.88	0.87	0.96	0.9	0.95	0.92
chr7_+_38178395_38178420_38179090_38179145_38207447_38207729	0.26	0.15	0.25	0.31	0.09	0.07	0.18	0.18	0.33	0.24	0.19	0.33	0.24	0.31	0.23	0.21
chr7_+_38215028_38215105_38217025_38217078_38217188_38217269	0.94	0.92	0.91	0.87	0.58	0.5	0.95	0.95	0.78	0.9	0.86	0.79	0.83	0.85	0.82	0.9
